screenName,total
takinyera,14
mcmenacrew,13
Rump2016,13
BamaDeerHunter,13
Amatodeb,12
"_WeepingWillow_",12
fungame_bot,11
razzleberry_e,11
FLConserve941,11
WolfNW,10
DrCyn21,10
LeeCastillo4,10
crisrice,10
Jeffrey74749980,9
EthanThoren,9
megsinspain,9
framu1,9
HJMP_MX,9
janeh227,9
macienpenny,9
davisiain0,9
"__malarkey",8
wardge76,8
GespenstOne78,8
MtinaMorgan,8
squzzle,8
Inked1BNA,8
HopSchipJump,8
rivkin_suzanne,8
ScottTh24545752,8
KHalveyGibson,8
duke_robinson,8
concerningtimes,8
chvjrv,8
syddid_VI24,8
lady_rhiana,8
floopjack,8
xxnikkixx89,8
Sea_Bucklin,8
riotousmuse,8
steveklotz2,7
ShelbyRHoving,7
alicepa33372034,7
oracle_4,7
janewishon,7
KristinSusanL,7
Heartless_Lyn,7
tawandachimhini,7
"_lefthandedhag",7
TotalAddekMomma,7
ElRecluse,7
Fleurdelisazure,7
stoppedclock321,7
papi_swank1,7
FindingMeMo89,7
skywaker9,7
BlackManTrump,7
CiciGutierrez1,7
ringasunn,7
ExecWomHillary,7
Uchebes14127102,7
missnisha6849,7
Day4wisewoman,7
JannaWilliford,7
TheSarahscope,7
mkues65,7
stephan08347556,7
davidpsdem,7
gnikkijade,7
kcolaizzo,7
szwest1,7
BernieOrJill1,7
BostonBlondie46,7
burtgravy,7
DanielCatno,7
NedGrant1,7
ThegingerhalfLJ,7
tonypickett,7
brontyman,7
Cary88888888,7
PolkaDotPats12,7
BeyHiveNicki,7
elmer_a_chile,7
Nate_Cherry,7
mjgardner2325,7
DruidNectan,7
Sp3cial_Kae,7
vtrippyy,7
Isis_Nocturne,7
1997American,7
LatestDarling,7
Peresson79,7
Selfman999,7
alisabatman,7
jdeuberry,7
AuntFannysPants,7
Tigerdell,7
CCourtneyclift,7
Wandrwoman,7
slsmnds,7
AVocalistsRival,7
MariaNYC,7
MommyDearest64,7
HillAllTheWay,7
nativeoldcrow,7
vijayharrell,7
katmet,6
staciemritchie,6
roberthardytrb,6
MoniseLSeward,6
CogitoErgoFlere,6
RosalesRosina,6
DayDailyNews,6
cmacne5,6
TeresaC85469500,6
TerryOverton6,6
abaker20,6
ercitall,6
AZ_Susan,6
Graham_Robert,6
mmdesoer,6
GregPittman1957,6
carolynsbuddy,6
masg66,6
Tamaraciocci,6
Jeffrey52095461,6
obstiknit,6
word_34,6
numb3r5ev3n,6
jgeckel,6
SkyeShepard,6
magsiniowa,6
RRRoxy,6
UFVPosc322,6
Eemunchagote,6
abs_tellthetale,6
robyns323,6
Ex_ter_min_8,6
Triunfadora93,6
clrh_mch,6
SMGebru,6
SDSunchaser,6
JStillDatNicca,6
genviiev,6
intnewsday,6
TwiBetween,6
chilltowntv,6
narnie4,6
alisondefreitas,6
FolukeO,6
floridaguy267,6
LibertySeeds,6
It_politicaNews,6
pwreid,6
News3LV,6
johnmbennett,6
DianaChic1,6
SaysMyDerbyWife,6
